n12g0m0.txt
25%,-2.418,-0.612,-4.262,-1.0,-0.909,-0.444,0.187,0.228
75%,1.0,0.68,0.189,1.0,0.943,1.0,1.0,1.0
median,0.0,0.156,-0.763,0.165,0.339,0.764,0.897,0.985
std,36.682,46.055,120.08,11.399,33.933,7.977,1.28,1.416
iqr,3.418,1.292,4.451,2.0,1.852,1.445,0.813,0.772
win,509,287,85,621,133,897,969,1065
n3g5m0.txt
25%,0.514,0.476,0.701,0.472,0.538,0.42,0.142,0.187
75%,0.95,0.98,0.973,0.96,0.977,1.0,0.812,0.851
median,0.8,0.77,0.88,0.778,0.809,0.8,0.551,0.611
std,0.515,3.23,0.372,0.632,0.675,1.49,0.395,0.396
iqr,0.436,0.504,0.272,0.488,0.439,0.58,0.67,0.664
win,1422,1329,1288,1439,1366,1421,1587,1563
n3g5m1.txt
25%,-18.649,-7.859,-35.048,-13.427,-13.388,-10.018,-4.666,-4.759
75%,-0.671,0.0,-2.149,-0.15,-0.148,0.05,0.509,0.611
median,-4.843,-2.0,-10.546,-3.102,-3.076,-2.302,-1.0,-1.0
std,152.222,498.304,7420.489,69.649,535.884,61.603,22.626,27.173
iqr,17.978,7.859,32.899,13.277,13.24,10.068,5.174,5.37
win,858,1148,546,988,991,1084,1385,1354
n3g6m0.txt
25%,0.188,0.146,0.263,0.133,0.139,0.125,0.018,0.028
75%,0.8,0.987,0.993,0.667,0.657,0.706,0.204,0.287
median,0.423,0.401,0.558,0.333,0.324,0.352,0.069,0.1
std,1.299,5.953,2.134,1.793,1.096,1.671,0.434,0.472
iqr,0.612,0.841,0.73,0.534,0.518,0.581,0.186,0.259
win,609,700,427,744,776,721,1450,1318
n3g6m1.txt
25%,-1.373,-0.069,-6.774,-0.387,-0.213,-0.312,0.498,0.447
75%,0.714,0.841,0.174,0.834,0.855,0.865,0.96,0.964
median,0.153,0.54,-1.329,0.467,0.567,0.476,0.853,0.86
std,24.855,8.337,459.005,53.573,53.097,23.469,1.455,1.441
iqr,2.087,0.91,6.948,1.221,1.068,1.178,0.462,0.517
win,578,860,269,780,860,814,1316,1289
n6g0m0.txt
25%,0.332,0.592,0.369,0.332,0.34,0.294,0.049,0.062
75%,2.662,6.432,2.903,3.194,3.114,2.753,0.735,0.875
